,AGE,TRANS_CIS,GEDUCATION,POVERTYCAT_I,RACE_RECODE_CAT5,SEX
0,65,Trans,4,4,1,Male
1,38,Trans,5,3,1,Female
2,25,Trans,3,4,1,Female
3,18,Trans,1,4,1,Female
4,30,Trans,4,4,3,Female
5,64,Trans,4,2,4,Female
6,61,Trans,6,4,1,Male
7,57,Trans,3,1,4,Female
8,54,Trans,4,1,2,Female
9,21,Trans,4,2,1,Male
10,36,Trans,6,4,1,Male
11,20,Trans,2,3,1,Female
12,64,Trans,4,1,4,Female
13,43,Trans,2,1,2,Female
14,30,Trans,4,3,4,Male
15,23,Trans,5,3,1,Male
16,40,Trans,2,1,1,Male
17,72,Trans,5,4,4,Male
18,19,Trans,1,3,1,Female
19,58,Trans,4,1,3,Male
20,21,Trans,2,2,5,Male
21,26,Trans,5,1,2,Male
22,30,Trans,5,4,1,Female
23,55,Trans,2,1,1,Female
24,62,Trans,6,2,5,Female
25,64,Trans,2,4,1,Male
26,43,Trans,1,1,1,Male
27,72,Trans,6,4,1,Male
28,45,Trans,6,4,1,Male
29,71,Trans,6,4,1,Male
30,59,Trans,5,3,1,Male
31,27,Trans,5,3,1,Male
32,72,Trans,2,3,1,Male
33,64,Trans,5,3,1,Male
34,32,Trans,4,1,4,Female
35,46,Trans,5,4,3,Male
36,29,Trans,5,4,1,Female
37,23,Trans,2,4,3,Female
38,47,Trans,6,4,1,Male
39,20,Trans,5,1,2,Male
40,26,Trans,5,2,1,Female
41,26,Trans,4,2,1,Male
42,61,Trans,6,4,1,Male
43,40,Trans,4,4,1,Male
44,56,Trans,6,4,1,Male
45,66,Trans,2,1,2,Male
46,54,Trans,2,4,1,Male
47,20,Trans,2,2,1,Male
48,28,Trans,5,4,2,Female
49,33,Trans,5,3,1,Male
50,30,Trans,4,4,4,Male
51,24,Trans,5,4,4,Male
52,42,Trans,5,3,1,Male
53,27,Trans,6,2,1,Female
54,19,Trans,2,3,1,Male
55,32,Trans,5,3,1,Male
56,19,Trans,2,2,4,Female
57,24,Trans,5,3,1,Female
58,19,Trans,4,2,1,Female
59,65,Trans,6,4,3,Male
60,66,Trans,5,4,1,Male
61,27,Trans,5,4,1,Male
62,23,Trans,4,2,1,Female
63,71,Trans,6,4,1,Male
64,21,Trans,4,1,1,Female
65,45,Trans,4,4,1,Female
66,20,Trans,2,3,1,Female
67,64,Trans,6,4,1,Female
68,33,Trans,6,4,1,Female
69,36,Trans,4,2,1,Male
70,52,Trans,2,2,1,Female
71,59,Trans,3,3,1,Male
72,20,Trans,4,3,5,Female
73,40,Trans,6,3,1,Male
74,21,Trans,4,1,2,Female
75,32,Trans,5,4,1,Male
76,18,Trans,2,4,1,Female
77,24,Trans,4,3,3,Male
78,65,Trans,4,2,1,Male
79,33,Trans,3,1,1,Male
80,19,Trans,2,1,1,Female
81,29,Trans,4,3,1,Female
82,29,Trans,5,3,1,Female
83,57,Trans,4,1,4,Female
84,34,Trans,5,3,1,Male
85,52,Trans,5,1,1,Male
86,71,Trans,4,4,1,Male
87,24,Trans,5,1,3,Female
88,37,Trans,5,4,1,Female
89,57,Trans,2,2,3,Female
90,32,Trans,4,3,1,Male
91,18,Trans,2,1,3,Female
92,19,Trans,6,1,1,Male
93,22,Trans,4,1,1,Male
94,22,Trans,4,2,1,Female
95,29,Trans,3,1,1,Male
96,21,Trans,4,1,1,Female
97,32,Trans,2,1,2,Female
98,32,Trans,2,1,1,Male
99,21,Trans,5,4,1,Male
100,19,Trans,2,3,1,Female
101,25,Trans,4,1,1,Female
102,26,Trans,6,4,2,Male
103,20,Trans,4,4,4,Male
104,37,Trans,4,3,1,Male
105,58,Trans,5,3,1,Female
106,29,Trans,2,3,5,Male
107,31,Trans,5,4,1,Male
108,21,Trans,4,2,1,Female
109,34,Trans,4,1,2,Male
110,22,Trans,4,4,1,Male
111,24,Trans,6,2,1,Female
112,61,Trans,4,1,1,Male
113,39,Trans,4,1,1,Male
114,38,Trans,5,2,3,Female
115,26,Trans,5,4,1,Male
116,21,Trans,4,2,1,Female
117,46,Trans,5,1,4,Female
118,60,Trans,2,1,1,Male
119,48,Trans,5,2,1,Male
120,18,Trans,2,4,5,Female
121,24,Trans,4,2,1,Female
122,18,Trans,4,4,1,Female
123,18,Trans,2,4,1,Female
124,42,Trans,4,1,2,Female
125,28,Trans, ,3,5,Male
126,43,Trans,5,4,1,Female
127,69,Trans, ,1,3,Female
128,69,Trans,2,1,3,Male
129,65,Trans,2,4,5,Male
130,37,Trans,6,3,3,Male
131,59,Trans,3,4,1,Female
132,58,Trans,3,1,2,Male
133,72,Trans,4,4,1,Male
134,20,Trans,4,2,1,Female
135,32,Trans,2,2,4,Male
136,55,Trans,4,4,2,Female
137,19,Trans,4,4,5,Female
138,19,Trans,4,1,1,Female
139,55,Trans,4,2,4,Male
140,24,Trans,2,2,4,Male
141,33,Trans,6,3,1,Female
142,26,Trans,6,4,1,Female
143,23,Trans,4,4,1,Female
144,35,Trans,4,1,1,Female
145,19,Trans,2,1,1,Female
146,44,Trans,5,2,1,Female
147,59,Trans,4,4,1,Male
148,21,Trans,2,2,1,Female
149,66,Trans,4,4,1,Male
150,22,Trans,6,1,5,Male
151,22,Trans,2,3,1,Female
152,54,Trans,2,2,3,Male
153,55,Trans,1,3,3,Female
154,29,Trans,5,4,1,Female
155,20,Trans,4,1,3,Female
156,26,Trans,4,1,1,Male
157,23,Trans,2,1,4,Male
158,51,Trans,6,4,4,Female
159,34,Trans,4,4,1,Male
160,34,Trans,6,4,1,Male
161,36,Trans,6,4,1,Female
162,27,Trans,4,4,1,Male
163,38,Trans,5,4,1,Male
164,20,Trans,4,1,1,Female
165,60,Trans,4,4,1,Male
166,45,Trans,4,1,5,Male
167,33,Trans,3,4,2,Female
168,42,Trans, ,4,3,Male
169,38,Trans,5,2,1,Female
170,37,Trans,6,4,1,Male
171,21,Trans,5,1,1,Female
172,53,Trans,6,2,1,Female
173,24,Trans,1,4,1,Male
174,72,Cis,4,2,1,Male
175,52,Cis,6,4,1,Female
176,34,Cis,4,1,1,Male
177,60,Cis,4,1,1,Female
178,72,Cis,1,2,1,Female
179,57,Cis,6,4,1,Male
180,57,Cis,2,3,1,Female
181,66,Cis,3,2,2,Female
182,42,Cis,5,3,4,Female
183,72,Cis,4,4,1,Male
184,56,Cis,5,3,1,Female
185,59,Cis,2,2,1,Male
186,49,Cis,4,4,1,Female
187,72,Cis,6,4,1,Female
188,72,Cis,2,4,1,Male
189,68,Cis,5,2,1,Female
190,64,Cis,6,4,1,Male
191,19,Cis,1,4,1,Male
192,44,Cis,5,3,1,Female
193,30,Cis,5,4,1,Male
194,60,Cis,5,4,1,Female
195,66,Cis,4,1,1,Female
196,55,Cis,6,4,1,Female
197,51,Cis,6,4,1,Female
198,39,Cis,6,4,4,Female
199,37,Cis,6,4,1,Male
200,60,Cis,4,3,1,Male
201,29,Cis,5,4,1,Female
202,72,Cis,4,3,1,Female
203,59,Cis,2,4,1,Male
204,35,Cis,5,2,1,Female
205,64,Cis,4,4,1,Male
206,66,Cis,6,1,1,Male
207,65,Cis,5,4,1,Male
208,72,Cis,5,4,1,Male
209,23,Cis,4,2,3,Female
210,51,Cis,1,1,1,Male
211,68,Cis,6,4,1,Female
212,72,Cis,4,4,4,Male
213,56,Cis,3,3,3,Male
214,65,Cis,6,4,1,Female
215,72,Cis,4,2,3,Male
216,66,Cis,6,4,3,Male
217,65,Cis,5,4,1,Female
218,33,Cis,4,1,1,Male
219,71,Cis,3,4,1,Female
220,72,Cis,6,4,1,Male
221,72,Cis,6,4,1,Male
222,61,Cis,4,1,1,Female
223,69,Cis,6,4,1,Female
224,63,Cis,5,4,1,Male
225,66,Cis,6,2,1,Female
226,72,Cis,5,4,1,Female
227,72,Cis,6,3,1,Female
228,28,Cis,6,1,1,Female
229,68,Cis,4,4,1,Female
230,71,Cis,3,4,1,Male
231,72,Cis,4,3,1,Female
232,72,Cis,2,2,1,Male
233,72,Cis,6,4,1,Female
234,60,Cis,2,1,4,Female
235,62,Cis,2,3,1,Female
236,61,Cis,2,4,1,Male
237,72,Cis,6,4,1,Male
238,72,Cis,6,4,1,Male
239,65,Cis,4,2,2,Male
240,36,Cis,6,4,1,Male
241,46,Cis,2,1,4,Female
242,64,Cis,2,4,1,Female
243,65,Cis,4,1,1,Female
244,31,Cis,5,1,3,Female
245,65,Cis,6,4,1,Female
246,68,Cis,6,4,1,Male
247,41,Cis,4,3,1,Male
248,29,Cis,6,4,1,Male
249,43,Cis,6,4,1,Female
250,60,Cis,5,4,1,Female
251,57,Cis,5,4,1,Female
252,42,Cis,4,4,1,Male
253,22,Cis,4,1,1,Male
254,53,Cis,4,4,1,Male
