,TRANS_CIS,SEX,GENDER_IDENTITY,SURVEYCOMPLETED,Q82,Q84
51,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Neutral
52,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
53,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
56,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
57,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
59,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
60,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
62,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
63,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
64,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
65,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
66,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
67,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
68,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
70,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
73,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
75,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
76,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
77,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
78,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
80,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
81,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
82,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
83,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
85,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Neutral
86,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
88,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
90,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
91,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
94,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
96,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
98,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
99,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
100,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
101,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
103,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
104,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
105,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
106,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
107,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
108,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
109,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
110,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
111,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
112,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
113,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Neutral
114,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
115,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
116,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
117,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
118,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
119,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
120,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
121,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Very satisfied
122,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
123,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Neutral
124,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
126,Trans,Female,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
127,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
128,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
129,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
130,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Neutral
131,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
132,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
133,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Very satisfied
134,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
135,Trans,Male,Trans GNB (Gender Non-Binary),1,"Yes, there are one or more places",Mostly satisfied
136,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
137,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Mostly satisfied
138,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Neutral
139,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
140,Trans,Male,Trans woman (MTF),1,"Yes, there are one or more places",Mostly satisfied
141,Trans,Female,Trans man (FTM),1,"Yes, there are one or more places",Very satisfied
