,TRANS_CIS,WEIGHT_CISGENDER_TRANSPOP,Q88,HINC_I,AGE,Q85,RACE_RECODE_CAT5,Q93,SEX,GENDER_IDENTITY,POVERTYCAT_I,Q99,Q200,Q205_I,GEDUCATION,HINC_I_means,HINC_I_strat,CURRENT_SEX
0,1,0.0220392151882,0,11,0.6962003337853676,1,1,3,0,4,4,0,0,2,4,0.2619826913437755,1,1
1,1,0.0084854885654,0,7,-0.9075878938786148,1,1,4,1,3,3,0,0,2,5,-0.7376871169953584,0,0
2,1,0.0157644964458,1,9,-1.6797822257168287,1,1,4,1,3,4,1,0,2,3,-0.3167735134841442,1,0
3,1,0.0356553903772,0,11,-2.095579173629713,0,1,3,1,3,4,0,0,4,1,0.2619826913437755,1,0
4,1,0.0418018885196,0,8,-1.3827844057790541,1,3,4,1,3,4,0,0,1,4,-0.5272303152397513,0,0
5,1,0.0213353872561,0,4,0.6368007697978127,1,4,4,1,3,2,0,1,1,4,-1.1059865200676708,0,0
6,1,0.0052828473032,0,11,0.458602077835148,1,1,4,0,4,4,1,0,2,6,0.2619826913437755,1,1
7,1,0.0099259328394,1,1,0.2210038218849284,1,4,2,1,3,1,0,0,1,3,-1.4216717227010816,0,0
8,1,0.0244242300534,0,1,0.042805129922263666,1,2,5,1,4,1,1,1,1,4,-1.4216717227010816,0,1
9,1,0.0209784895253,1,4,-1.9173804816670483,0,1,4,0,4,2,0,0,1,4,-1.1059865200676708,0,1
10,1,0.0052828473032,0,13,-1.0263870218537248,1,1,3,0,4,4,0,0,3,6,1.6825661031941237,2,1
11,1,0.0283319059822,1,8,-1.9767800456546032,0,1,3,1,3,3,0,0,3,2,-0.5272303152397513,0,0
12,1,0.0066495529877,0,4,0.6368007697978127,1,4,3,1,3,1,1,1,3,4,-1.1059865200676708,0,0
13,1,0.0529522611794,1,1,-0.6105900739408403,0,2,1,1,5,1,0,1,2,2,-1.4216717227010816,0,1
14,1,0.0628910393237,1,7,-1.3827844057790541,0,4,1,0,4,3,0,0,2,4,-0.7376871169953584,0,1
15,1,0.0052828473032,1,7,-1.7985813536919386,1,1,4,0,4,3,0,0,1,5,-0.7376871169953584,0,1
